Cumulative update name,Build version,Knowledge Base number,Release date
SQL Server 2014 SP3 CU4 + GDR,12.0.6449.1,KB5029185,"October 10, 2023"
SQL Server 2014 SP3 GDR,12.0.6179.1,KB5029184,"October 10, 2023"
SQL Server 2014 SP3 CU4 + GDR,12.0.6444.4,KB5021045,"February 14, 2023"
SQL Server 2014 SP3 GDR,12.0.6174.8,KB5021037,"February 14, 2023"
SQL Server 2014 SP3 CU4 + GDR,12.0.6439.10,KB5014164,"June 14, 2022"
SQL Server 2014 SP3 GDR,12.0.6169.19,KB5014165,"June 14, 2022"
SQL Server 2014 SP3 CU4 + GDR,12.0.6433.1,KB4583462,"January 12, 2021"
SQL Server 2014 SP3 GDR,12.0.6164.21,KB4583463,"January 12, 2021"
SQL Server 2014 SP3 CU4 + GDR,12.0.6372.1,KB4535288,"February 11, 2020"
SQL Server 2014 SP3 GDR,12.0.6118.4,KB4532095,"February 11, 2020"
SQL Server 2014 SP3 CU4,12.0.6329.1,KB4500181,"July 29, 2019"
SQL Server 2014 SP3 CU3 + GDR,12.0.6293.0,KB4505422,"July 09, 2019"
SQL Server 2014 SP3 GDR,12.0.6108.1,KB4505218,"July 09, 2019"
SQL Server 2014 SP3 CU3,12.0.6259.0,KB4491539,"April 16, 2019"
SQL Server 2014 SP3 CU2,12.0.6214.1,KB4482960,"February 19, 2019"
SQL Server 2014 SP3 CU1,12.0.6205.1,KB4470220,"December 12, 2018"
SQL Server 2014 SP3,12.0.6024.0,KB4022619,"October 30, 2018"
